Burka	Bur
mahometanka	mahometanin
recytatorka	recytator
deklamatorka	deklamator
kolonistka	kolonista
ergonomistka	ergonomista
dysortograficzka	dysortografik
stara	stary
ankarka	ankarczyk
czyścicielka	czyściciel
donatorka	donator
studentka	student
fonetyczka	fonetyk
muszynianka	muszynianin
informatorka	informator
miła	miły
sodomitka	sodomita
tyszanka	tyszanin
iranistka	iranista
Chinka	Chińczyk
internautka	internauta
matematyczka	matematyk
reflektantka	reflektant
arabistka	arabista
birofilka	birofil
hazardzistka	hazardzista
sojuszniczka	sojusznik
grekokatoliczka	grekokatolik
egocentryczka	egocentryk
skazana	skazany
badylarka	badylarz
śmieszka	śmieszek
performerka	performer
dziewiętnastolatka	dziewiętnastolatek
gołąbka	gołąbek
poległa	poległy
kobyłczanka	kobyłczanin
londynka	londyńczyk
wychowawczyni	wychowawca
grodziszczanka	grodziszczanin
wolontariuszka	wolontariusz
wnuczka	wnuk
alkoholiczka	alkoholik
nieprofesjonalistka	nieprofesjonalista
trzydziestoparolatka	trzydziestoparolatek
cieszynianka	cieszynianin
cyganka	cygan
radczyni	radca
kamerzystka	kamerzysta
umiłowana	umiłowany
czapkarka	czapkarz
abolicjonistka	abolicjonista
gruźliczka	gruźlik
zecerka	zecer
numerantka	numerant
srokata	srokaty
inspicjentka	inspicjent
Tybetanka	Tybetańczyk
santoczanka	santoczanin
domatorka	domator
turkowianka	turkowianin
aresztantka	aresztant
Mezopotamka	Mezopotamczyk
wybawczyni	wybawca
kalwinka	kalwin
pocieszycielka	pocieszyciel
milionerka	milioner
kasztanka	kasztanek
globtroterka	globtroter
tropicielka	tropiciel
prezbiterianka	prezbiterianin
wielbłądzica	wielbłąd
Ghanka	Ghańczyk
anorektyczka	anorektyk
dyskobolka	dyskobol
wygodnisia	wygodniś
jasnowidząca	jasnowidzący
bratanica	brataniec
Anglosaska	Anglosas
bostonka	bostończyk
Khmerka	Khmer
grupowiczka	grupowicz
alergiczka	alergik
Kiribatyjka	Kiribatyjczyk
cesarzowa	cesarz
beneficjentka	beneficjent
aeronautka	aeronauta
marsylianka	marsylianin
siedmiolatka	siedmiolatek
wyspiarka	wyspiarz
Borowiaczka	Borowiak
astygmatyczka	astygmatyk
parolatka	parolatek
drogerzystka	drogerzysta
Karakałpaczka	Karakałpak
podżegaczka	podżegacz
dziwaczka	dziwak
poszkodowana	poszkodowany
biotechnolożka	biotechnolog
filatelistka	filatelista
posterunkowa	posterunkowy
czarna	czarny
spawaczka	spawacz
pątniczka	pątnik
cichociemna	cichociemny
mówczyni	mówca
cenzorka	cenzor
adiutantka	adiutant
słuchaczka	słuchacz
prowokatorka	prowokator
nazistka	nazista
olkuszanka	olkuszanin
redaktorka	redaktor
Mulatka	Mulat
cwaniara	cwaniak
kombinatorka	kombinator
trzeźwa	trzeźwy
optymistka	optymista
małżonka	małżonek
perfekcjonistka	perfekcjonista
architektka	architekt
oławianka	oławianin
kolarka	kolarz
aktorka	aktor
bokserka	bokser
Murzynka	Murzyn
linuksiara	linuksiarz
wróżka	wróż
działaczka	działacz
dawczyni	dawca
Kornwalijka	Kornwalijczyk
Liwijka	Liw
Metyska	Metys
hotelarka	hotelarz
obserwatorka	obserwator
hungarystka	hungarysta
Walijka	Walijczyk
przemytniczka	przemytnik
neofitka	neofita
Nanajka	Nanaj
taksiara	taksiarz
traktorzystka	traktorzysta
bałtystka	bałtysta
epikurejka	epikurejczyk
ministrantka	ministrant
samotniczka	samotnik
ślubna	ślubny
sekretarka	sekretarz
Galicyjka	Galicyjczyk
kitesurferka	kitesurfer
nieznajoma	nieznajomy
powodzianka	powodzianin
poetka	poeta
bałtolożka	bałtolog
rzeczniczka	rzecznik
mieszkanka	mieszkaniec
refrenistka	refrenista
męczennica	męczennik
Antylka	Antylczyk
wróbliczka	wróbel
fałszerka	fałszerz
siedemnastolatka	siedemnastolatek
awangardystka	awangardysta
debiutantka	debiutant
garncarka	garncarz
strasburka	strasburczyk
Podlasiaczka	Podlasiak
magiczka	magik
kawalarka	kawalarz
milanowianka	milanowianin
donosicielka	donosiciel
wuefistka	wuefista
tragiczka	tragik
tarocistka	tarocista
Irokezka	Irokez
pachciarka	pachciarz
poskramiaczka	poskramiacz
Mauretanka	Mauretańczyk
polkowiczanka	polkowiczanin
infantka	infant
guwernerka	guwerner
Mozambijka	Mozambijczyk
baptystka	baptysta
woźna	woźny
przywódczyni	przywódca
osadzona	osadzony
dywersantka	dywersant
laktowegetarianka	laktowegetarianin
ławniczka	ławnik
koloryzatorka	koloryzator
kursantka	kursant
Turkmenka	Turkmen
Portugalka	Portugalczyk
pseudoartystka	pseudoartysta
faworytka	faworyt
utopistka	utopista
nowohucianka	nowohucianin
bukowianka	bukowianin
księżniczka	książę
urbanistka	urbanista
amantka	amant
klawikordzistka	klawikordzista
zakopianka	zakopianin
krykiecistka	krykiecista
bigamistka	bigamista
kanarzyca	kanar
społeczniczka	społecznik
Afrykanka	Afrykanin
głosicielka	głosiciel
akwarystka	akwarysta
współlokatorka	współlokator
miechowianka	miechowianin
artretyczka	artretyk
złoczewianka	złoczewianin
choleryczka	choleryk
terrorystka	terrorysta
czapniczka	czapnik
nerwuska	nerwus
gitarzystka	gitarzysta
sprawozdawczyni	sprawozdawca
szczawniczanka	szczawniczanin
deputowana	deputowany
pierwsza sekretarz	pierwszy sekretarz
Rumunka	Rumun
muzykantka	muzykant
szatanistka	szatanista
niterka	niter
outsiderka	outsider
stewardessa	steward
Kenijka	Kenijczyk
kopistka	kopista
farmerka	farmer
Jemenka	Jemeńczyk
cierpiętnica	cierpiętnik
agentka	agent
Małopolanka	Małopolanin
germanistka	germanista
zwolenniczka	zwolennik
hochsztaplerka	hochsztapler
współproducentka	współproducent
dzieciobójczyni	dzieciobójca
spóźnialska	spóźnialski
hrabini	hrabia
rozrzutnica	rozrzutnik
regalistka	regalista
szabrowniczka	szabrownik
czarnowidzka	czarnowidz
marksistka	marksista
Induska	Indus
degustatorka	degustator
pozytywistka	pozytywista
branżystka	branżysta
makijażystka	makijażysta
dublinka	dublińczyk
stomatolożka	stomatolog
modernistka	modernista
pasjonistka	pasjonista
Czeszka	Czech
rawiczanka	rawiczanin
Szwabka	Szwab
eks	eks
druhna	druh
Rosjanka	Rosjanin
krejzolka	krejzol
koleżanka po piórze	kolega po piórze
cudzoziemka	cudzoziemiec
lekkoatletka	lekkoatleta
subskrybentka	subskrybent
Koreanka	Koreańczyk
Łużyczanka	Łużyczanin
jaślanka	jaślanin
cudaczka	cudak
stołowniczka	stołownik
dyżurna	dyżurny
Sarmatka	Sarmata
negocjatorka	negocjator
nekromantka	nekromanta
autokratka	autokrata
Kongijka	Kongijczyk
oddawczyni	oddawca
adwokatka	adwokat
ćwierćfinalistka	ćwierćfinalista
regentka	regent
wychowanica	wychowanek
technokratka	technokrata
konwojentka	konwojent
metalówa	metalowiec
bojanowianka	bojanowianin
kontrolerka	kontroler
przodownica	przodownik
snajperka	snajper
pracodawczyni	pracodawca
bufonka	bufon
Turczynka	Turczyn
luteranka	luteranin
